fiscalDateEnding,reportedEPS
2025-12-31,1.34
2024-12-31,2.32
2023-12-31,3.13
2022-12-31,4.07
2021-12-31,2.26
2020-12-31,0.75
2019-12-31,0
2018-12-31,-0.1
2017-12-31,-0.57
2016-12-31,-0.2
2015-12-31,-0.15
2014-12-31,0.03
2013-12-31,0.05
2012-12-31,-0.21
2011-12-31,-0.16
2010-12-31,-0.0971
