transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2019-11-26,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,6613.0,0.0
2019-11-07,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,7500.0,144.765
2019-11-06,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,2500.0,144.0133
2019-11-05,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,2500.0,144.75
2019-11-04,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,2500.0,144.42
2019-10-30,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,2500.0,144.6567
2019-10-30,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,5000.0,143.6873
2019-10-29,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,2500.0,142.8851
2019-10-28,MSFT,"COURTOIS, JEAN PHILIPPE",Executive Vice President,Common Stock,D,11345.0,145.0575
2019-10-25,MSFT,"COURTOIS, JEAN PHILIPPE",Executive Vice President,Common Stock,D,13074.0,141.0031
2019-09-19,MSFT,"HOGAN, KATHLEEN T","EVP, Human Resources",Common Stock,D,1142.0,138.52
2019-09-18,MSFT,"JOHNSON, MARGARET L","EVP, Bus Dev",Common Stock,A,18135.0,0.0
2019-09-18,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,A,90672.0,0.0
2019-09-18,MSFT,"BROD, FRANK H",Chief Accounting Officer,Common Stock,A,9318.0,0.0
2019-09-18,MSFT,"BROD, FRANK H",Chief Accounting Officer,Common Stock,A,6656.0,0.0
2019-09-18,MSFT,"HOGAN, KATHLEEN T","EVP, Human Resources",Common Stock,D,878.0,137.39
2019-09-18,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,A,16865.0,0.0
2019-09-18,MSFT,"COURTOIS, JEAN PHILIPPE",Executive Vice President,Common Stock,A,27202.0,0.0
2019-09-18,MSFT,"SMITH, BRADFORD L",President/Chief Legal Officer,Common Stock,A,33368.0,0.0
2019-09-18,MSFT,"HOGAN, KATHLEEN T","EVP, Human Resources",Common Stock,A,16321.0,0.0
2019-09-18,MSFT,"HOOD, AMY",EVP & Chief Financial Officer,Common Stock,A,40621.0,0.0
2019-09-12,MSFT,"WARRIOR, PADMASREE",Director,Restricted Stock Units,A,10.0,0.0
2019-09-12,MSFT,"NOSKI, CHARLES H",Director,Restricted Stock Units,A,326.0,0.0
2019-09-12,MSFT,"LIST-STOLL, TERI",Director,Restricted Stock Units,A,59.0,0.0
2019-09-12,MSFT,"HOFFMAN, REID",Director,Restricted Stock Units,A,27.0,0.0
2019-09-12,MSFT,"PETERSON, SANDRA E",Director,Restricted Stock Units,A,53.0,0.0
2019-09-12,MSFT,"THOMPSON, JOHN WENDELL",Director,Restricted Stock Units,A,85.0,0.0
2019-09-12,MSFT,"THOMPSON, JOHN WENDELL",Director,Restricted Stock Units,A,118.0,0.0
2019-09-12,MSFT,"PRITZKER, PENNY S",Director,Restricted Stock Units,A,17.0,0.0
2019-09-10,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,9000.0,135.5797
2019-09-10,MSFT,"HOGAN, KATHLEEN T","EVP, Human Resources",Common Stock,D,40000.0,135.2493
2019-09-06,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,6000.0,140.1
2019-09-05,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,12500.0,139.8413
2019-09-05,MSFT,"COURTOIS, JEAN PHILIPPE",Executive Vice President,Common Stock,D,11779.0,140.0
2019-09-05,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,12500.0,139.355
2019-09-04,MSFT,"BROD, FRANK H",Chief Accounting Officer,Common Stock,D,4000.0,137.17
2019-09-04,MSFT,"HOOD, AMY","EVP, Chief Financial Officer",Common Stock,D,123769.0,137.261
2019-09-04,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,D,10253.0,137.5399
2019-09-04,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,D,89584.0,137.1576
2019-09-03,MSFT,"HOGAN, KATHLEEN T","EVP, Human Resources",Common Stock,A,71828.0,0.0
2019-09-03,MSFT,"BROD, FRANK H",Chief Accounting Officer,Common Stock,D,5357.0,137.86
2019-09-03,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,36776.0,137.86
2019-09-03,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,A,73538.0,0.0
2019-09-03,MSFT,"COURTOIS, JEAN PHILIPPE",Executive Vice President,Common Stock,D,3922.0,137.86
2019-09-03,MSFT,"COURTOIS, JEAN PHILIPPE",Executive Vice President,Common Stock,A,128262.0,0.0
2019-09-03,MSFT,"HOOD, AMY","EVP, Chief Financial Officer",Common Stock,D,80306.0,137.86
2019-09-03,MSFT,"HOOD, AMY","EVP, Chief Financial Officer",Common Stock,A,159044.0,0.0
2019-09-03,MSFT,"JOHNSON, MARGARET L","EVP, Business Development",Common Stock,A,85509.0,0.0
2019-09-03,MSFT,"HOGAN, KATHLEEN T","EVP, Human Resources",Common Stock,D,36135.0,137.86
2019-09-03,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,D,132198.0,137.86
2019-09-03,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,A,256523.0,0.0
2019-09-03,MSFT,"SMITH, BRADFORD L",President,Common Stock,D,69193.0,137.86
2019-09-03,MSFT,"SMITH, BRADFORD L",President,Common Stock,A,140233.0,0.0
2019-09-03,MSFT,"JOHNSON, MARGARET L","EVP, Business Development",Common Stock,D,42449.0,137.86
2019-08-29,MSFT,"LIST-STOLL, TERI",Director,Restricted Stock Units,A,627.0,0.0
2019-08-29,MSFT,"HOFFMAN, REID",Director,Restricted Stock Units,A,599.0,0.0
2019-08-29,MSFT,"SCHARF, CHARLES W",Director,Common Stock,A,369.0,0.0
2019-08-29,MSFT,"PRITZKER, PENNY S",Director,Restricted Stock Units,A,599.0,0.0
2019-08-29,MSFT,"PETERSON, SANDRA E",Director,Restricted Stock Units,A,599.0,0.0
2019-08-29,MSFT,"PANKE, HELMUT",Director,Common Stock,A,369.0,0.0
2019-08-29,MSFT,"NOSKI, CHARLES H",Director,Restricted Stock Units,A,368.0,0.0
2019-08-29,MSFT,"JOHNSTON, HUGH F",Director,Common Stock,A,369.0,0.0
2019-08-29,MSFT,"BROD, FRANK H",Chief Accounting Officer,Common Stock,D,489.0,135.56
2019-08-29,MSFT,"PANKE, HELMUT",Director,Common Stock,D,111.0,135.56
2019-08-29,MSFT,"HOGAN, KATHLEEN T","EVP, Human Resources",Common Stock,D,416.0,135.56
2019-08-29,MSFT,"WARRIOR, PADMASREE",Director,Common Stock,A,369.0,0.0
2019-08-29,MSFT,"WARRIOR, PADMASREE",Director,Restricted Stock Units,A,115.0,0.0
2019-08-29,MSFT,"THOMPSON, JOHN WENDELL",Director,Restricted Stock Units,A,663.0,0.0
2019-08-29,MSFT,"STANTON, JOHN W",Director,Common Stock,A,369.0,0.0
2019-08-29,MSFT,"SORENSON, ARNE M",Director,Common Stock,A,369.0,0.0
2019-08-13,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,7000.0,138.15
2019-08-08,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,3500.0,138.0018
2019-08-01,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,3372.0,138.0612
2019-07-31,MSFT,"CAPOSSELA, CHRISTOPHER C","EVP, Chief Marketing Officer",Common Stock,D,5311.0,0.0
2019-07-29,MSFT,"BROD, FRANK H",Chief Accounting Officer,Common Stock,D,4000.0,141.054
