timestamp,open,high,low,close,volume
2026-02-04 19:00:00,233.75,234.5,233.5,234.2882,76872
2026-02-04 18:00:00,233.7,234.49,232.99,233.8276,101164
2026-02-04 17:00:00,233.48,233.9802,232.99,233.65,451918
2026-02-04 16:00:00,232.97,235.0,231.95,233.49,22817965
2026-02-04 15:00:00,234.78,234.9,232.38,232.99,7249903
2026-02-04 14:00:00,232.94,234.8209,232.14,234.805,4870384
2026-02-04 13:00:00,233.68,233.835,231.82,232.93,5179415
2026-02-04 12:00:00,234.99,235.14,231.97,233.695,5918576
2026-02-04 11:00:00,238.03,238.2,233.82,235.01,4733435
2026-02-04 10:00:00,235.22,238.27,234.37,238.01,6583016
2026-02-04 09:00:00,239.1589,240.41,235.11,235.28,6312220
2026-02-04 08:00:00,239.89,240.19,238.62,238.99,201563
2026-02-04 07:00:00,239.75,239.93,239.01,239.35,35440
2026-02-04 06:00:00,239.71,240.0,239.3,239.88,18337
2026-02-04 05:00:00,239.37,239.95,239.21,239.7,9191
2026-02-04 04:00:00,238.44,240.24,238.44,239.39,63236
2026-02-03 19:00:00,238.9,238.99,238.4,238.4,50417
2026-02-03 18:00:00,238.87,239.0,238.6252,238.9,60913
2026-02-03 17:00:00,238.62,251.3005,222.4882,238.8879,3189523
2026-02-03 16:00:00,238.65,251.7071,227.9304,238.78,11811052
2026-02-03 15:00:00,237.11,238.84,236.58,238.64,6597630
2026-02-03 14:00:00,235.955,237.5,235.45,237.14,4124469
2026-02-03 13:00:00,237.68,237.9025,235.65,235.98,3857698
2026-02-03 12:00:00,237.14,238.24,236.5931,237.69,4989800
2026-02-03 11:00:00,237.89,238.6,236.36,237.18,5603161
2026-02-03 10:00:00,241.11,241.25,237.55,237.9,10015278
2026-02-03 09:00:00,243.9458,246.35,240.86,241.1446,7913804
2026-02-03 08:00:00,244.71,245.65,241.06,244.0,264812
2026-02-03 07:00:00,244.53,245.2,244.19,244.87,58079
2026-02-03 06:00:00,244.55,245.2,244.32,244.52,34402
2026-02-03 05:00:00,244.44,245.65,244.35,244.54,33523
2026-02-03 04:00:00,244.04,245.21,243.94,244.44,62919
2026-02-02 19:00:00,243.8,244.17,243.02,244.06,53005
2026-02-02 18:00:00,243.26,244.0,243.1,243.94,58295
2026-02-02 17:00:00,242.87,256.2424,242.77,243.37,291987
2026-02-02 16:00:00,242.89,243.297,242.51,242.87,10949457
2026-02-02 15:00:00,242.96,244.39,242.56,242.95,6151015
2026-02-02 14:00:00,243.73,244.05,242.92,242.9401,3164509
2026-02-02 13:00:00,244.74,244.85,243.48,243.75,3217942
2026-02-02 12:00:00,244.8901,245.39,244.6,244.725,2721957
2026-02-02 11:00:00,243.87,245.0,243.28,244.915,3036538
2026-02-02 10:00:00,243.32,245.6299,242.79,243.86,6693014
2026-02-02 09:00:00,238.3,243.49,236.5356,243.3,5349251
2026-02-02 08:00:00,239.3,239.3,234.0,238.29,291194
2026-02-02 07:00:00,237.77,238.19,237.56,237.84,52084
2026-02-02 06:00:00,237.33,238.15,237.24,237.75,22227
2026-02-02 05:00:00,237.32,237.78,237.21,237.39,25264
