timestamp,open,high,low,close,adjusted close,volume,dividend amount
2026-02-04,336.22,349.0,328.52,333.04,333.04,138555049,0.0
2026-01-30,327.805,342.29,326.54,338.0,338.0,144008370,0.0
2026-01-23,320.87,335.15,319.3518,327.93,327.93,123729133,0.0
2026-01-16,325.8,340.49,325.0,330.0,330.0,164751149,0.0
2026-01-09,317.655,330.83,311.78,328.57,328.57,154622390,0.0
2026-01-02,311.365,322.5,310.33,315.15,315.15,85389739,0.0
2025-12-26,309.875,315.085,305.3,313.51,313.51,72904985,0.0
2025-12-19,311.315,311.42,296.12,307.16,307.16,197128554,0.0
2025-12-12,320.05,321.31,305.56,309.29,309.29,175216416,0.21
2025-12-05,317.7,323.16,313.89,321.27,321.0551,178968646,0.0
2025-11-28,311.13,328.83,309.595,320.18,319.9658,251189126,0.0
2025-11-21,285.775,306.42,278.2,299.66,299.4595,306190794,0.0
2025-11-14,284.42,292.005,270.7,276.41,276.2251,135370635,0.0
2025-11-07,282.175,288.35,275.19,278.83,278.6435,161800853,0.0
2025-10-31,264.815,291.59,264.28,281.19,281.0019,222698007,0.0
2025-10-24,254.69,261.68,244.15,259.92,259.7461,153248174,0.0
2025-10-17,240.21,256.96,239.71,253.3,253.1306,131783078,0.0
2025-10-10,244.78,251.32,235.84,236.57,236.4117,134455451,0.0
2025-10-03,247.85,251.1486,238.61,245.35,245.1859,154621214,0.0
2025-09-26,254.43,255.78,240.74,246.54,246.3751,136643134,0.0
2025-09-19,244.66,256.0,244.66,254.72,254.5496,213412406,0.0
2025-09-12,235.47,242.25,233.229,240.8,240.6389,163047714,0.21
2025-09-05,208.44,235.76,206.195,235.0,234.6323,247886406,0.0
2025-08-29,206.43,214.645,205.28,212.91,212.5768,153483529,0.0
2025-08-22,204.2,208.54,196.595,206.09,205.7675,134323998,0.0
2025-08-15,200.935,206.44,197.5101,203.9,203.5809,144761658,0.0
2025-08-08,190.29,202.61,190.12,201.42,201.1048,150196235,0.0
2025-08-01,193.65,197.5999,187.82,189.13,188.834,198135406,0.0
2025-07-25,186.25,197.95,186.15,193.18,192.8777,263812842,0.0
2025-07-18,181.01,186.42,179.68,185.06,184.7704,165096150,0.0
