timestamp,open,high,low,close,adjusted close,volume,dividend amount
2026-02-04,336.22,349.0,328.52,333.04,333.04,138555049,0.0
2026-01-30,316.9,342.29,310.33,338.0,338.0,619120427,0.0
2025-12-31,317.7,323.16,296.12,313.0,313.0,677598955,0.21
2025-11-28,282.175,328.83,270.7,320.18,319.9658,854551408,0.0
2025-10-31,240.75,291.59,235.84,281.19,281.0019,729575801,0.0
2025-09-30,208.44,256.0,206.195,243.1,242.9374,828219783,0.21
2025-08-29,189.025,214.645,187.82,212.91,212.5768,617597601,0.0
2025-07-31,175.735,197.95,172.77,191.9,191.5997,860114504,0.0
2025-06-30,167.84,181.23,162.0,176.23,175.9542,847447897,0.21
2025-05-30,160.45,176.77,147.84,171.74,171.267,942808158,0.0
2025-04-30,153.62,166.1,140.53,158.8,158.3626,842648281,0.0
2025-03-31,171.925,174.97,150.662,154.64,154.2141,731963205,0.2
2025-02-28,200.69,207.05,166.77,170.28,169.6065,629464870,0.0
2025-01-31,190.65,205.48,187.36,204.02,203.2131,500375385,0.0
2024-12-31,168.765,201.42,168.57,189.3,188.5513,645620865,0.2
2024-11-29,170.07,182.49,163.7,168.95,168.0901,529990651,0.0
2024-10-31,167.685,182.02,159.74,171.11,170.2391,569355454,0.0
2024-09-30,161.72,166.15,147.215,165.85,165.0059,532527762,0.2
2024-08-30,170.25,174.05,154.93,163.38,162.3301,550739537,0.0
2024-07-31,183.03,191.75,164.06,171.54,170.4377,526148198,0.0
2024-06-28,172.54,186.05,171.16,182.15,180.9795,461090319,0.2
2024-05-31,164.3,178.77,163.05,172.5,171.1959,542413794,0.0
2024-04-30,150.69,174.71,149.6,162.78,161.5494,657659985,0.0
2024-03-28,138.43,152.256,130.665,150.93,149.7889,671379553,0.0
2024-02-29,142.12,149.44,135.41,138.46,137.4132,647506998,0.0
2024-01-31,138.55,153.78,135.15,140.1,139.0408,580941276,0.0
2023-12-29,131.86,142.68,127.9,139.69,138.6339,619214883,0.0
2023-11-30,124.07,139.42,123.715,132.53,131.5281,535336827,0.0
2023-10-31,131.21,141.22,120.2057,124.08,123.1419,680762930,0.0
2023-09-29,137.455,139.16,127.22,130.86,129.8707,477625238,0.0
2023-08-31,130.775,138.0,126.3824,136.17,135.1405,593521002,0.0
2023-07-31,119.24,133.74,115.35,132.72,131.7166,707114432,0.0
2023-06-30,122.815,129.04,116.1,119.7,118.7951,656884438,0.0
2023-05-31,106.84,126.43,103.71,122.87,121.9411,820529683,0.0
2023-04-28,102.39,109.17,101.93,107.34,106.5285,603728992,0.0
2023-03-31,89.98,106.59,89.42,103.73,102.9458,860049034,0.0
2023-02-28,98.71,108.18,88.575,90.06,89.3791,952709694,0.0
2023-01-31,89.585,100.32,84.86,98.84,98.0928,672897542,0.0
2022-12-30,101.02,102.25,85.94,88.23,87.563,602717061,0.0
2022-11-30,95.45,101.04,83.34,100.99,100.2265,716537649,0.0
2022-10-31,96.76,104.82,91.8,94.51,93.7955,681653109,0.0
2022-09-30,108.28,111.62,95.56,95.65,94.9269,612908183,0.0
