fiscalDateEnding,reportedEPS
2025-12-31,0.4
2024-12-31,0.4
2023-12-31,0.21
2022-12-31,-0.07
2021-12-31,-0.0611
2020-12-31,-0.1413
2019-12-31,-0.0258
