fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2024-12-31,USD,49931214000,37194119000,13637271000,13637271000,None,13891509000,12737095000,46223000,None,347616000,347616000,414287000,None,11641689000,9512196000,153143000,None,42284138000,38900251000,9333541000,None,None,531464000,3383887000,26197000,328873000,222881000,None,886534000,27933160000,None,7646289000,None,3420596000,84000,4888918000
2023-12-31,USD,43345195000,36733362000,13370862000,13370862000,-269714000,14531873000,6611833000,69753000,None,295881000,295881000,397538000,None,9358488000,8652545000,178082000,None,36938810000,33941328000,9755285000,None,None,324049000,2997482000,36942000,1022749000,113595000,None,1167672000,22561149000,None,6406385000,None,1276949000,84000,4857579000
2022-12-31,USD,29934872000,25923120000,6890816000,6890816000,6101449000,9000760000,4011752000,46464000,None,182164000,182164000,397397000,None,10517274000,9947138000,84406000,None,25044089000,23200989000,7054783000,None,None,235571000,1843100000,20353000,585568000,38329000,None,803163000,15399618000,None,4890783000,None,64577000,83000,4676977000
2021-12-31,USD,19858681000,7380914000,2528529000,2528529000,12792139000,4852385000,9492627000,20535000,None,72337000,72337000,401872000,None,8997883000,8163428000,-12792139000,None,15416140000,4882159000,4882159000,None,None,7600000,224866000,7621000,157254000,None,None,172475000,-38300000,None,4441032000,None,-128409000,83000,4608684459
2020-12-31,USD,10154250000,5386990000,2478083000,2478083000,7193878000,2908907000,4343860000,20510000,None,12372000,12372000,831000,None,4310147000,1789955000,-7193878000,None,9716139000,3331258000,3331258000,None,None,136644000,223916000,12014000,177196000,None,None,654248000,-3331258000,None,438111000,None,-102441000,45000,219263000
2019-12-31,USD,6760034000,4195867000,1409343000,1409343000,4344103000,2786524000,2343773000,25862000,None,1110000,1110000,0,None,2316801000,262867000,-4344103000,None,6147783000,2976505000,2976505000,None,None,101491000,343879000,18701000,303326000,None,None,423518000,-2976505000,None,612251000,None,28189000,45000,189655000
2018-12-31,USD,2785794000,2088325000,464498000,464498000,2003034000,1623827000,606280000,6702000,None,503000,503000,None,None,599075000,177556000,76899000,None,2489062000,1675853000,1675853000,None,None,628683000,126244000,None,115414000,None,None,744097000,-1675853000,None,296732000,None,-57994000,42000,4608684459
