fiscalDateEnding,reportedEPS
2025-12-31,29.7
2024-12-31,23.92
2023-12-31,14.9
2022-12-31,8.58
2021-12-31,13.8
2020-12-31,10.1
2019-12-31,6.44
2018-12-31,7.57
2017-12-31,5.39
2016-12-31,3.26
2015-12-31,1.28
2014-12-31,1.1
2013-12-31,0.59
2012-12-31,-0.0055
