,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Total Non Current Assets,45571988000.0,38937602000.0,35123751000.0,28173967000.0
Other Non Current Assets,200343000.0,82593000.0,120093000.0,178046000.0
Non Current Deferred Assets,,2567000.0,0.0,
Non Current Deferred Taxes Assets,524572000.0,2567000.0,0.0,629601000.0
Financial Assets,0.0,885794000.0,62072000.0,
Other Investments,17410000.0,14778000.0,14778000.0,12291000.0
Long Term Equity Investment,121819000.0,263732000.0,274217000.0,261145000.0
Goodwill And Other Intangible Assets,428078000.0,339638000.0,285097000.0,142384000.0
Other Intangible Assets,385584000.0,296421000.0,241147000.0,142384000.0
Goodwill,42494000.0,43217000.0,43950000.0,
Net PPE,30753351000.0,27288202000.0,25770584000.0,20607117000.0
Accumulated Depreciation,-13398069000.0,-11535868000.0,-9986804000.0,-8707777000.0
Gross PPE,44151420000.0,38824070000.0,35757388000.0,29314894000.0
Construction In Progress,1984585000.0,3244286000.0,7048245000.0,2648029000.0
Other Properties,1429489000.0,1577279000.0,1297020000.0,1006796000.0
Machinery Furniture Equipment,27681238000.0,25287490000.0,20093391000.0,19059463000.0
Buildings And Improvements,4573105000.0,4006743000.0,3443348000.0,3466894000.0
Land And Improvements,8483003000.0,4708272000.0,3875384000.0,3133712000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,13818844000.0,16497088000.0,12515679000.0,13901740000.0
Other Current Assets,211589000.0,338904000.0,379436000.0,256797000.0
Assets Held For Sale Current,,31443000.0,11675000.0,9599000.0
Inventory,3215938000.0,2665525000.0,2442005000.0,2003394000.0
Inventories Adjustments Allowances,-226908000.0,-176731000.0,-75157000.0,-37273000.0
Other Inventories,51122000.0,27367000.0,19461000.0,14674000.0
Finished Goods,1039786000.0,1047041000.0,823998000.0,713073000.0
Work In Process,70941000.0,82838000.0,70351000.0,52358000.0
Raw Materials,2280997000.0,1685010000.0,1603352000.0,1260562000.0
Taxes Receivable,1045980000.0,665106000.0,505351000.0,401001000.0
Accounts Receivable,1815129000.0,2112722000.0,2674899000.0,2808514000.0
Allowance For Doubtful Accounts Receivable,-65904000.0,,-78641000.0,-60189000.0
Gross Accounts Receivable,1881033000.0,,2753540000.0,2868703000.0
Cash Cash Equivalents And Short Term Investments,7530208000.0,10714831000.0,6502313000.0,8422435000.0
Other Short Term Investments,794037000.0,1156002000.0,1818368000.0,2017235000.0
Cash And Cash Equivalents,6736171000.0,9558829000.0,4683945000.0,6405200000.0
Cash Equivalents,5667228000.0,7479338000.0,3724335000.0,5974059000.0
Cash Financial,1068943000.0,2079491000.0,959610000.0,431141000.0
