Date,Stock Splits
2000-10-20 00:00:00-02:00,0.2
2005-06-01 00:00:00-03:00,1.2
2007-08-02 00:00:00-03:00,0.05
2010-12-20 00:00:00-02:00,5.0
2013-11-12 00:00:00-02:00,5.0
